Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,activity_nM,activity_M,pActivity,binding_label
CHEMBL468,THALIDOMIDE,4.0,258.23,0.0,0.09,Thalidomide,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,Ki,'=',1800.0,nM,5.75,,,UO_0000065,22.25,0.41,5.65,6.88,0,CHEMBL5367924,Binding affinity to CRBN (unknown origin) assessed as inhibition constant,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5365467,1,Scientific Literature,J Med Chem,2023,,,DEGRADER,,1.8,1800.0,1.8000000000000001e-06,5.7447274948966935,0
CHEMBL5560766,,,761.8,2.0,6.17,6,CC(C)(O)c1cc2c(cnn2CCCCCCCCCNc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)cc1NC(=O)c1cccc(C(F)(F)F)n1,IC50,'=',880.0,nM,6.06,,,UO_0000065,7.95,0.15,-0.11,3.45,0,CHEMBL5525798,Binding affinity to CRBN (unknown origin) by HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,,,OCI-Ly10,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5523727,1,Scientific Literature,J Med Chem,2024,,,BINDING AGENT,,880.0,880.0,8.8e-07,6.055517327849832,1
CHEMBL5567766,,,802.85,3.0,5.5,10,CN(CCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O)C[C@H]1CC[C@H](n2cc3cc(NC(=O)c4cccc(C(F)(F)F)n4)c(C(C)(C)O)cc3n2)CC1,IC50,'=',62.0,nM,7.21,,,UO_0000065,8.98,0.17,1.71,4.03,0,CHEMBL5525798,Binding affinity to CRBN (unknown origin) by HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,,,OCI-Ly10,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5523727,1,Scientific Literature,J Med Chem,2024,,,BINDING AGENT,,62.0,62.0,6.2e-08,7.2076083105017466,1
CHEMBL5567792,,,816.88,3.0,5.52,11,CN(CCCN(C)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O)C[C@H]1CC[C@H](n2cc3cc(NC(=O)c4cccc(C(F)(F)F)n4)c(C(C)(C)O)cc3n2)CC1,IC50,'=',200.0,nM,6.7,,,UO_0000065,8.2,0.16,1.18,3.94,0,CHEMBL5525798,Binding affinity to CRBN (unknown origin) by HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,,,OCI-Ly10,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5523727,1,Scientific Literature,J Med Chem,2024,,,BINDING AGENT,,200.0,200.0,2.0000000000000002e-07,6.698970004336019,1
CHEMBL5561819,,,801.87,2.0,6.02,12,CN(CCCCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O)C[C@H]1CC[C@H](n2cc3cc(NC(=O)c4cccc(C(F)(F)F)n4)c(C(C)(C)O)cc3n2)CC1,IC50,'=',91.0,nM,7.04,,,UO_0000065,8.78,0.17,1.02,4.22,0,CHEMBL5525798,Binding affinity to CRBN (unknown origin) by HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,,,OCI-Ly10,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5523727,1,Scientific Literature,J Med Chem,2024,,,BINDING AGENT,,91.0,91.0,9.100000000000001e-08,7.040958607678906,1
CHEMBL5561380,,,884.96,3.0,6.19,20,CC(C)(O)c1cc2nn([C@H]3CC[C@H](CN4CCC(O[C@H]5C[C@H](Nc6cccc7c6C(=O)N(C6CCC(=O)NC6=O)C7=O)C5)CC4)CC3)cc2cc1NC(=O)c1cccc(C(F)(F)F)n1,IC50,'=',26.0,nM,7.58,,,UO_0000065,8.57,0.16,1.4,4.03,0,CHEMBL5525798,Binding affinity to CRBN (unknown origin) by HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,,,OCI-Ly10,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5523727,1,Scientific Literature,J Med Chem,2024,,,BINDING AGENT,,26.0,26.0,2.6e-08,7.585026652029182,1
CHEMBL5561818,,,871.98,3.0,7.08,33,CC(C)(O)c1cc2nc([C@H]3CC[C@H](CN4CC5(CC(CCNc6cccc7c6C(=O)N([C@H]6CCC(=O)NC6=O)C7=O)C5)C4)CC3)sc2cc1NC(=O)c1cccc(C(F)(F)F)n1,IC50,'=',3.0,nM,8.52,,,UO_0000065,9.77,0.19,1.44,4.9,0,CHEMBL5525798,Binding affinity to CRBN (unknown origin) by HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,,,OCI-Ly10,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5523727,1,Scientific Literature,J Med Chem,2024,,,BINDING AGENT,,3.0,3.0,3.0000000000000004e-09,8.522878745280337,1
CHEMBL5422157,,,809.44,2.0,6.51,Pro-6,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCCCCN1CCC(c3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)CC1)c1nnc(C)n1-2,IC50,'=',8.9,nM,8.05,,,UO_0000065,9.95,0.19,1.54,5.67,0,CHEMBL5379637,Binding affinity to Nano-Luc fused CRBN (unknown origin) expressed in digitonin-permeabilized HEK293 cells incubated for 10 mins by NanoBRET target engagement assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5376000,1,Scientific Literature,J Med Chem,2023,,TIME = 0.1667 hr,BINDING AGENT,,8.9,8.9,8.9e-09,8.050609993355087,1
CHEMBL5399086,,,732.27,2.0,6.18,Pro-7,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(Cc3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)cc1)c1nnc(C)n1-2,IC50,'=',11.7,nM,7.93,,,UO_0000065,10.83,0.21,1.75,5.72,0,CHEMBL5379637,Binding affinity to Nano-Luc fused CRBN (unknown origin) expressed in digitonin-permeabilized HEK293 cells incubated for 10 mins by NanoBRET target engagement assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5376000,1,Scientific Literature,J Med Chem,2023,,TIME = 0.1667 hr,BINDING AGENT,,11.7,11.7,1.17e-08,7.931814138253839,1
CHEMBL5397580,,,250.32,0.0,1.41,14r,Nc1cccc(SCC2CCC(=O)NC2=O)c1,Ki,'=',3100.0,nM,5.51,,,UO_0000065,22.01,0.44,4.1,7.63,0,CHEMBL5355404,Binding affinity to human CRBN thalidomide binding domain assessed as inhibition constant by microscale thermophoresis analysis,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5352463,1,Scientific Literature,Eur J Med Chem,2023,,,BINDING AGENT,,3.1,3100.0,3.1000000000000004e-06,5.508638306165727,0
CHEMBL5423420,,,1084.17,,,AK-2292Me,CN(CCCC#Cc1cccc2c1CN(C1CCC(=O)N(C)C1=O)C2=O)C(=O)CCN(C(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1cc2cc(C(F)(F)P(=O)(O)O)ccc2s1)C(C)(C)C)c1ccc(-c2nccs2)cc1,Ki,'>',5000.0,nM,,,,UO_0000065,,,,,0,CHEMBL5382003,Binding affinity to GST-tagged wild type human CRBN assessed as inhibition constant by TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL3763008,Protein cereblon,Homo sapiens,SINGLE PROTEIN,CHEMBL5380794,1,Scientific Literature,J Med Chem,2023,,,,,5000.0,5000.0,5e-06,5.301029995663981,0
