"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5405431";"";"None";"789.36";"2";"6.16";"Pro-9";"Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCNc1ccc(Cc3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)cc1)c1nnc(C)n1-2";"IC50";"'='";"53.6";"nM";"7.27";"";"";"UO_0000065";"9.21";"0.18";"1.11";"4.83";"0";"CHEMBL5379636";"Binding affinity to Nano-Luc fused CRBN (unknown origin) expressed in live HEK293 cells incubated for 30 mins by NanoBRET target engagement assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5376000";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 0.5 hr";"BINDING AGENT";"";"53.6"
"CHEMBL5398776";"";"None";"817.42";"2";"6.94";"Pro-11";"Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCCCNc1ccc(Cc3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)cc1)c1nnc(C)n1-2";"IC50";"'='";"20.9";"nM";"7.68";"";"";"UO_0000065";"9.40";"0.18";"0.74";"5.10";"0";"CHEMBL5379636";"Binding affinity to Nano-Luc fused CRBN (unknown origin) expressed in live HEK293 cells incubated for 30 mins by NanoBRET target engagement assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5376000";"1";"Scientific Literature";"J Med Chem";"2023";"None";"TIME = 0.5 hr";"BINDING AGENT";"";"20.9"
"CHEMBL5436622";"";"None";"292.36";"0";"1.79";"14t";"CC(=O)Nc1ccccc1SCC1CCC(=O)NC1=O";"Ki";"'='";"3000.0";"nM";"5.52";"";"";"UO_0000065";"18.89";"0.38";"3.73";"7.34";"0";"CHEMBL5355404";"Binding affinity to human CRBN thalidomide binding domain assessed as inhibition constant by microscale thermophoresis analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352463";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"";"BINDING AGENT";"";"3.0"
"CHEMBL5434742";"";"None";"292.36";"0";"1.79";"14u";"CC(=O)Nc1cccc(SCC2CCC(=O)NC2=O)c1";"Ki";"'='";"3300.0";"nM";"5.48";"";"";"UO_0000065";"18.75";"0.37";"3.69";"7.28";"0";"CHEMBL5355404";"Binding affinity to human CRBN thalidomide binding domain assessed as inhibition constant by microscale thermophoresis analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352463";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"";"BINDING AGENT";"";"3.3"
"CHEMBL5424693";"";"None";"249.34";"0";"2.17";"17a";"CN1C(=O)CCC(CSc2ccccc2)C1=O";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL5355405";"Binding affinity to human CRBN thalidomide binding domain by microscale thermophoresis analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352463";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"";"";"Not active";""
"CHEMBL4170596";"";"None";"440.89";"0";"2.73";"CC-885";"Cc1ccc(NC(=O)NCc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1Cl";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4835749";"Induction of MDM2/p53 degradation in human RS4-11 cells assessed as downregulation of p53 level at 10 nM preincubated with proteasome inhibitor, MG132 for 1 hr followed by incubation with compound for 4 hrs by western blot analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"RS4-11";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4834427";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"Dose = 10.0 nM | TIME = 4.0 hr";"";"Not active";""
"CHEMBL4170596";"";"None";"440.89";"0";"2.73";"CC-885";"Cc1ccc(NC(=O)NCc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1Cl";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4835751";"Induction of MDM2/p53 degradation in human RS4-11 cells assessed as downregulation of p53 level at 10 nM preincubated with CRBN ligand, lenalidomide for 1 hr followed by incubation with compound for 4 hrs by western blot analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"RS4-11";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4834427";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"Dose = 10.0 nM | TIME = 4.0 hr";"";"Not active";""
"CHEMBL4170596";"";"None";"440.89";"0";"2.73";"CC-885";"Cc1ccc(NC(=O)NCc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1Cl";"Activity";"";"";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4835752";"Induction of MDM2/p53 degradation in human RS4-11 cells assessed as downregulation of p53 level at 10 nM preincubated with MD2-p53 interaction inhibitor, AMG232 for 1 hr followed by incubation with compound for 4 hrs by western blot analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"RS4-11";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4834427";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"Dose = 10.0 nM | TIME = 4.0 hr";"";"Not active";""
"CHEMBL468";"THALIDOMIDE";"4.0";"258.23";"0";"0.09";"Thalidomide";"O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1";"Ki";"'='";"1800.0";"nM";"5.75";"";"";"UO_0000065";"22.25";"0.41";"5.65";"6.88";"0";"CHEMBL5367924";"Binding affinity to CRBN (unknown origin) assessed as inhibition constant";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5365467";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"DEGRADER";"";"1.8"
"CHEMBL5560766";"";"None";"761.80";"2";"6.17";"6";"CC(C)(O)c1cc2c(cnn2CCCCCCCCCNc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)cc1NC(=O)c1cccc(C(F)(F)F)n1";"IC50";"'='";"880.0";"nM";"6.06";"";"";"UO_0000065";"7.95";"0.15";"-0.11";"3.45";"0";"CHEMBL5525798";"Binding affinity to CRBN (unknown origin) by HTRF assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"OCI-Ly10";"None";"";"";"";"CHEMBL3763008";"Protein cereblon";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5523727";"1";"Scientific Literature";"J Med Chem";"2024";"None";"";"BINDING AGENT";"";"880.0"
